name,twitter,party,chamber,twitter_id
Rafał Ambrozik,,,upper chamber,
Anna Maria Anders,Anna_M_Anders,,upper chamber,3889919849
Mieczysław Augustyn,senatorAugustyn,Platforma Obywatelska,upper chamber,2855582747
Adam Bielan,AdamBielan,Porozumienie,upper chamber,40022142
Grzegorz Bierecki,,,upper chamber,
Przemysław Błaszczyk,,,upper chamber,
Aleksander Bobko,profABobko,,upper chamber,3650361977
Ryszard Bonisławski,,,upper chamber,
Waldemar Bonkowski,,,upper chamber,
Marek Borowski,MarekBorowski,Socjaldemokracja Polska,upper chamber,3434012787
Bogdan Borusewicz,,,upper chamber,
Barbara Borys-Damięcka,,,upper chamber,
Margareta Budner,,,upper chamber,
Jerzy Chróścikowski,,,upper chamber,
Dorota Czudowska,,,upper chamber,
Wiesław Dobkowski,wdobkowski,Prawo i Sprawiedliwość,upper chamber,476700749
Jan Dobrzyński,,,upper chamber,
Robert Dowhan,Robert_Dowhan,Platforma Obywatelska,upper chamber,2318753360
Jarosław Duda,JarosławDuda,Platforma Obywatelska,upper chamber,not returned
Jerzy Fedorowicz,JerzyFedorowicz,Platforma Obywatelska,upper chamber,2709940893
Piotr Florek,florek_piotr,Platforma Obywatelska,upper chamber,885432543327252480
Adam Gawęda,AdamGaweda,Prawo i Sprawiedliwość,upper chamber,972058994322935809
Robert Gaweł,GawelRobert,Prawo i Sprawiedliwość,upper chamber,4822306823
Stanisław Gogacz,,,upper chamber,
Mieczysław Golba,,,upper chamber,
Arkadiusz Grabowski,,,upper chamber,
Tomasz Grodzki,profGrodzki,Platforma Obywatelska,upper chamber,2473724316
Maciej Grubski,,,upper chamber,
Jan Hamerski,,,upper chamber,
Jan Maria Jackowski,JanMJackowski,Prawo i Sprawiedliwość,upper chamber,1228465771
Andrzej Kamiński,,,upper chamber,
Stanisław Karczewski,StKarczewski,Prawo i Sprawiedliwość,upper chamber,3337074616
Wiesław Kilian,,,upper chamber,
Kazimierz Kleina,,,upper chamber,
Bogdan Klich,BogdanKlich,Platforma Obywatelska,upper chamber,1055997816
Andrzej Kobiak,,,upper chamber,
Maria Koc,MariaKoc1,Prawo i Sprawiedliwość,upper chamber,843813330
Stanisław Kogut,,,upper chamber,
Władysław Komarnicki,WKomarnicki,Platforma Obywatelska,upper chamber,2777888210
Tadeusz Kopeć,TadeuszKopec,Porozumienie,upper chamber,366181262
Małgorzata Kopiczko,,,upper chamber,
Waldemar Kraska,WaldemarKraska,Prawo i Sprawiedliwość,upper chamber,446165996
Jan Filip Libicki,jflibicki,Polskie Stronnictwo Ludowe,upper chamber,249251654
Maciej Łuczak,,,upper chamber,
Józef Łyczak,,,upper chamber,
Ryszard Majer,,,upper chamber,
Robert Mamątow,,,upper chamber,
Marek Martynowski,,,upper chamber,
Łukasz Mikołajczyk,luka_mik,Prawo i Sprawiedliwość,upper chamber,1158480450
Andrzej Mioduszewski,,,upper chamber,
Andrzej Misiołek,,,upper chamber,
Krzysztof Mróz,,,upper chamber,
Grzegorz Napieralski,gnapieralski,Sojusz Lewicy Demokratycznej,upper chamber,129166436
Jarosław Obremski,ObremskiSenat,,upper chamber,1229684250
Bogusława Orzechowska,,,upper chamber,
Andrzej Pająk,,,upper chamber,
Maria Pańczyk­ Pozdziej,,,upper chamber,
